LEXER DUMP (on parse error)
=============================
Error at test_program.txt:29:10
Current token: TOK_LPAREN = '('

Type: IDENTIFIER, Name: x, Value: x, Line: 20, Col: 8
Type: TOK_GT, Name: >, Value: >, Line: 20, Col: 9
Type: NUMBER, Name: 7, Value: 7, Line: 20, Col: 10
Type: TOK_RPAREN, Name: ), Value: ), Line: 20, Col: 11
Type: TOK_LBRACE, Name: {, Value: {, Line: 20, Col: 13
Type: IDENTIFIER, Name: print, Value: print, Line: 20, Col: 14
Type: TOK_LPAREN, Name: (, Value: (, Line: 20, Col: 19
Type: STRING, Name: tmdv, Value: tmdv, Line: 20, Col: 21
Type: TOK_RPAREN, Name: ), Value: ), Line: 20, Col: 26
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 20, Col: 27
Type: TOK_RBRACE, Name: }, Value: }, Line: 20, Col: 28
Type: TOK_FOR, Name: for, Value: for, Line: 21, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 21, Col: 8
Type: TOK_INT, Name: int, Value: int, Line: 21, Col: 9
Type: IDENTIFIER, Name: t, Value: t, Line: 21, Col: 13
Type: TOK_EQUAL, Name: =, Value: =, Line: 21, Col: 14
Type: NUMBER, Name: 0, Value: 0, Line: 21, Col: 15
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 21, Col: 16
Type: IDENTIFIER, Name: t, Value: t, Line: 21, Col: 17
Type: TOK_LT, Name: <, Value: <, Line: 21, Col: 18
Type: NUMBER, Name: 90, Value: 90, Line: 21, Col: 19
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 21, Col: 21
Type: IDENTIFIER, Name: t, Value: t, Line: 21, Col: 22
Type: TOK_PLUSEQUAL, Name: +=, Value: +=, Line: 21, Col: 23
Type: NUMBER, Name: 1, Value: 1, Line: 21, Col: 25
Type: TOK_RPAREN, Name: ), Value: ), Line: 21, Col: 26
Type: TOK_LBRACE, Name: {, Value: {, Line: 21, Col: 27
Type: IDENTIFIER, Name: print, Value: print, Line: 22, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 22, Col: 10
Type: STRING, Name: loop, Value: loop, Line: 22, Col: 12
Type: TOK_RPAREN, Name: ), Value: ), Line: 22, Col: 17
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 22, Col: 18
Type: IDENTIFIER, Name: print, Value: print, Line: 24, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 24, Col: 10
Type: IDENTIFIER, Name: t, Value: t, Line: 24, Col: 11
Type: TOK_RPAREN, Name: ), Value: ), Line: 24, Col: 12
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 24, Col: 13
Type: IDENTIFIER, Name: x, Value: x, Line: 25, Col: 5
Type: TOK_PLUSEQUAL, Name: +=, Value: +=, Line: 25, Col: 6
Type: NUMBER, Name: 1, Value: 1, Line: 25, Col: 8
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 25, Col: 9
Type: IDENTIFIER, Name: print, Value: print, Line: 26, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 26, Col: 10
Type: IDENTIFIER, Name: f, Value: f, Line: 26, Col: 11
Type: TOK_LPAREN, Name: (, Value: (, Line: 26, Col: 12
Type: IDENTIFIER, Name: x, Value: x, Line: 26, Col: 13
Type: TOK_RPAREN, Name: ), Value: ), Line: 26, Col: 14
Type: TOK_RPAREN, Name: ), Value: ), Line: 26, Col: 15
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 26, Col: 16
Type: TOK_RBRACE, Name: }, Value: }, Line: 27, Col: 5
Type: TOK_RBRACE, Name: }, Value: }, Line: 28, Col: 5
Type: IDENTIFIER, Name: print, Value: print, Line: 29, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 29, Col: 10
Type: IDENTIFIER, Name: tmgg, Value: tmgg, Line: 29, Col: 11
Type: TOK_LPAREN, Name: (, Value: (, Line: 29, Col: 15
Type: NUMBER, Name: 5, Value: 5, Line: 29, Col: 16
Type: TOK_RPAREN, Name: ), Value: ), Line: 29, Col: 17
Type: TOK_RPAREN, Name: ), Value: ), Line: 29, Col: 18
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 29, Col: 19
Type: TOK_RETURN, Name: return, Value: return, Line: 30, Col: 5
Type: NUMBER, Name: 0, Value: 0, Line: 30, Col: 12
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 30, Col: 13
Type: TOK_RBRACE, Name: }, Value: }, Line: 31, Col: 1
Type: EOF, Name: EOF, Value: , Line: 31, Col: 2
